,,,,,,,,
Gradient Power Amplifier (FHDO-GPA) for image generation,,,,,,,,
No.,Part name,Part Number,Name or code on PCB board,Quantity,Total Cost (Canadian dollars),"3D Printed
(Yes/No)","Added to Assembly ?/ 
Not yet added to the Assembly??","Disassembled ?/ 
Not yet Disassembled??"
,Active components,,,,,,,
1,4 channel 16 bit ADC,ADS8684IDBTR,U5,1,$23.11,No,,
2,RJ-45 connector,609-146-ND,X4,2,$2.28,No,,
3,Inverter,MC74HC1G04DTT1GOSCT-ND,U20,1,$0.16,No,,
4,Power supply connector,WM 21 367-ND,VCC,1,$7.52,No,,
5,Power supply connector plug,WM-37-04-ND,,1,$0.69,No,,
6,12 volt- voltage regulator,497-7767-1-ND,U7,1,$0.47,No,,
7,5 volt-voltage regulator,497-2957-5-ND,U21,1,$1.61,No,,
8,Heatsink,HS-343-ND,"U100, U101, U102, U103",4,$33.48,No,,
9,2.5 volt reference,296-39165-1-ND,U22,1,$6.84,No,,
10,power amplifier,OPA549T-ND,"U8, U9, U11, U12, U17, U18, U23, U24",8,$430.80,No,,
11,Coil connectors output of amplifier to grad coil,WM-13112,,4,$9.36,No,,
12,Coil connector plug,WM 3701-ND,,4,$1.80,No,,
13,Hexstandoff,36-25522-ND,,4,$4.56,No,,
14,SPI Isolator,505-ADUM4150BRIZ-ND,U2,1,$26.01,No,,
15,Hexnut,732-126-38-ND,,4,$0.64,No,,
16,DAC (Digital to analog converter) DAC80504RTER,296-51043-1-ND,U6,1,$20.93,No,,
17,Heatsink clip,115000F00000G-ND,,4,$3.24,No,,
18,contact pins,WM 2503-ND,,16,$3.63,No,,
19,Differential OP amp,29630028-2-ND,"U10, U13, U19, U25",4,$56.20,No,,
20,Blue LED (LEDSMT1206 ),732-4989-2-ND - Tape,LED1,1,$0.23,No,,
,passive components,,,,,No,,
1,1 nF Feed back capacitors_C0805,399-14546-1-ND,"C33, C34, C44, C43, C63, C64, C83, C84,",10,$2.17,No,,
2,1 micro farad _C0805 capacitors,399-C0805C105J3RECAUTOTR-ND,"C4, C8, C9, C36, C39, C46, C49, C66, C69, C86, C89 , C21, C17, C26",14,$3.50,No,,
3,Resistor (300 ohm)_R0805,738-RNCF0805BTE300RTR-ND,R18,2,$0.26,No,,
4,5K Resistor,804-Y40225K00000T9RTR-ND,R37 and R38,2,$38.24,No,,
5,50K Resistor,PLTT50.0KACT-ND,R36 and R39,2,$15.72,No,,
6,0.22 microfarad Capacitor,399-C0805C224K5RACTUTR-ND -,C10,2,$0.56,No,,
7,22 microfarad capacitor,4587-C0805B226M025TTR-ND,C18,2,$1.04,No,,
8,0.1 microfarad capacitor,399-C0805C104K3RACTUTR-ND,"C42, C52, C72, C92",10,$1.50,No,,
